seq_id	n	k	known_reference	seed_k0	precision_bits	elapsed_ms
A226188	1	1	true	1	256	0.171
A226188	2	2	true	2	256	0.021
A226188	3	4	true	4	256	0.026
A226188	4	8	true	8	256	0.036
A226188	5	16	true	15	256	0.057
A226188	6	31	true	30	256	0.096
A226188	7	60	true	59	256	0.174
A226188	8	116	true	116	256	0.234
A226188	9	227	true	226	256	0.372
A226188	10	441	true	441	256	0.801
A226188	11	859	true	859	256	1.661
A226188	12	1674	true	1673	256	2.879
A226188	13	3260	true	3259	256	5.317
A226188	14	6349	true	6349	256	11.304
A226188	15	12367	true	12366	256	0.335
A226188	16	24088	true	24087	256	0.113
A226188	17	46916	true	46916	256	0.118
A226188	18	91380	true	91380	256	0.115
A226188	19	177984	true	177984	256	0.114
A226188	20	346666	true	346666	256	0.110
A226188	21	675214	true	675213	256	0.113
A226188	22	1315136	true	1315136	256	0.109
A226188	23	2561536	true	2561536	256	0.112
A226188	24	4989191	true	4989191	256	0.109
A226188	25	9717617	true	9717617	256	0.113
A226188	26	18927334	true	18927333	256	0.109
A226188	27	36865412	true	36865412	256	0.115
A226188	28	71804019	false	71804018	256	0.114
A226188	29	139855131	false	139855131	256	0.115
A226188	30	272400600	false	272400600	256	0.110
A226188	31	530563922	false	530563921	256	0.110
A226188	32	1033397411	false	1033397410	256	0.106
A226188	33	2012783315	false	2012783315	256	0.109
A226188	34	3920366580	false	3920366580	256	0.107
A226188	35	7635831442	false	7635831441	256	0.114
A226188	36	14872568831	false	14872568831	256	0.106
A226188	37	28967808590	false	28967808590	256	0.110
A226188	38	56421586886	false	56421586886	256	0.106
A226188	39	109894245429	false	109894245428	256	0.109
A226188	40	214044762737	false	214044762737	256	0.106
A226188	41	416902270693	false	416902270693	256	0.112
A226188	42	812014744422	false	812014744422	256	0.106
A226188	43	1581588759549	false	1581588759549	256	0.112
A226188	44	3080514265923	false	3080514265923	256	0.109
A226188	45	6000022499693	false	6000022499693	256	0.114
A226188	46	11686448069747	false	11686448069746	256	0.106
A226188	47	22762092724463	false	22762092724463	256	0.111
A226188	48	44334502845080	false	44334502845080	256	0.111
A226188	49	86351820384599	false	86351820384598	256	0.111
A226188	50	168190380070122	false	168190380070121	256	0.108
A226188	51	327590128640500	false	327590128640499	256	0.112
A226188	52	638058445066582	false	638058445066581	256	0.109
A226188	53	1242768153638596	false	1242768153638596	256	0.117
A226188	54	2420581837980561	false	2420581837980560	256	0.107
A226188	55	4714649644993433	false	4714649644993432	256	0.113
A226188	56	9182883605200051	false	9182883605200051	256	0.109
A226188	57	17885814992891026	false	17885814992891026	256	0.110
A226188	58	34836810713659947	false	34836810713659947	256	0.105
A226188	59	67852842108773716	false	67852842108773715	256	0.113
A226188	60	132159290357566703	false	132159290357566703	256	0.104
A226188	61	257411148671061652	false	257411148671061652	256	0.109
A226188	62	501368456813612867	false	501368456813612865	256	0.112
A226188	63	976532410446924923	false	976532410446924921	256	0.110
A226188	64	1902025418020652442	false	1902025418020652440	256	0.106
A226188	65	3704639653630074470	false	3704639653630074460	256	0.110
A226188	66	7215652763216299614	false	7215652763216299603	256	0.107
A226188	67	14054172515346621401	false	14054172515346621396	256	0.110
